(32764.1,0)
(-0.35236,0.590254)
(0.0907639,-5.80983)
(-6.91269,-0.180647)
(-4.18265,1.43371)
(-5.63913,6.45858)
(7.05416,2.07816)
(6.57929,9.96946)
(3.04253,-4.95961)
(4.20873,-4.43857)
(0.389495,3.01095)
(5.3081,-2.69374)
(-3.33467,4.72592)
(7.6198,-2.70401)
(-3.17031,0.511825)
(-1.12529,-0.851512)
(-1.25895,2.56708)
(3.64488,0.249326)
(1.35447,0.0246928)
(-4.13076,-7.10603)
(-2.3814,-2.93342)
(-9.44514,3.62695)
(3.34649,0.43252)
(-10.0824,-1.41028)
(9.56218,-7.15563)
(-7.56818,-4.65395)
(1.44727,-2.98717)
(-2.86168,-8.72086)
(0.700503,7.51542)
(1.59017,5.81298)
(4.22252,0.59844)
(10.5885,0.642223)
(-5.15199,-4.73047)
(-1.88873,0.511095)
(-0.49982,-4.85327)
(-7.76188,-5.85605)
(-9.91822,7.16945)
(-1.21817,1.07144)
(-1.91728,-0.27303)
(2.02125,-6.17049)
(8.33096,2.27645)
(-3.4111,-2.2231)
(-4.17515,0.628338)
(3.57521,5.29594)
(0.90481,-6.51292)
(5.12606,-3.36937)
(2.91633,4.49938)
(-3.17137,5.70171)
(-0.378857,-0.783748)
(-2.83382,-5.43828)
(-7.29716,-0.535842)
(-9.28949,0.799028)
(-3.88588,9.15489)
(-0.542732,5.04965)
(-2.48952,-4.72742)
(9.30972,8.93787)
(2.3822,0.69474)
(3.76396,-3.51125)
(4.91732,-3.03272)
(2.64642,3.28402)
(-0.354372,-6.58906)
(-0.975789,4.9631)
(-0.938062,4.38816)
(3.71997,-1.19976)
(1.53517,2.97794)
(-4.14515,0.357564)
(-4.16588,-0.922231)
(4.40232,5.99241)
(-5.83424,-4.25288)
(-1.61389,2.39028)
(3.2785,-4.15099)
(5.17106,-3.19476)
(-3.54956,-3.78535)
(-2.5966,1.32927)
(-3.96507,3.06986)
(1.8353,1.80194)
(-2.18341,-1.12412)
(8.21337,3.76699)
(-1.76396,-2.05169)
(0.39723,4.3016)
(2.45039,-2.99958)
(1.89558,6.08402)
(4.42252,-5.06117)
(-3.74773,-17.3523)
(6.72519,3.0056)
(-3.93036,-2.75174)
(7.07881,-3.39901)
(-0.405538,0.172361)
(-6.55016,-2.72635)
(-5.1168,2.72107)
(-1.54866,-3.12482)
(5.77791,-1.71223)
(-2.46301,4.29732)
(-3.71771,-5.92525)
(-5.17498,5.69646)
(-3.77782,0.291855)
(3.50011,1.02575)
(-11.9738,3.73555)
(0.610522,2.34289)
(3.6311,-5.41136)
(7.52923,1.68426)
(3.73391,1.95871)
(-0.962749,5.54003)
(5.19051,7.93868)
(-2.42623,11.5888)
(5.50756,-1.02159)
(2.34919,-2.36401)
(9.28698,-4.8534)
(1.25148,3.19803)
(2.3455,5.30654)
(4.3351,-3.98685)
(-4.29005,1.22697)
(7.31077,-9.92147)
(-4.88595,3.32314)
(2.73521,2.9592)
(-3.40506,10.3473)
(-0.563375,-1.43973)
(8.26023,6.61)
(-4.26413,0.253829)
(-1.83843,-1.47457)
(-4.4109,-0.604696)
(1.74222,4.07552)
(-2.14576,-5.279)
(-3.32517,-1.48928)
(3.59945,5.62146)
(6.66969,-4.51728)
(3.28628,-3.37459)
(-1.71889,2.75961)
(-4.6784,1.30586)
(4.59677,2.50317)
(0.677418,1.00998)
(-1.40118,-3.95731)
(6.38376,3.73441)
(3.84109,-2.23559)
(1.16979,2.70465)
(6.46982,-2.63136)
(-6.4254,2.73678)
(-2.08442,0.506798)
(6.0458,-1.76538)
(2.48119,5.06612)
(1.22239,-1.04145)
(5.1734,0.597317)
(-1.6594,4.05115)
(-10.1377,3.62555)
(-4.08864,1.57568)
(-1.0049,5.32275)
(-3.10272,-4.31024)
(2.56022,-6.11585)
(3.12244,5.78009)
(-1.5377,-0.659327)
(-0.0853319,6.87105)
(-4.81049,-1.06432)
(-7.04845,4.14224)
(-0.774203,2.56973)
(-1.15368,4.90021)
(-1.0925,3.31896)
(-0.934169,-1.2375)
(-0.901381,1.83216)
(5.67864,-2.89914)
(-3.75671,-0.903213)
(3.0235,6.75203)
(1.88313,0.90123)
(0.119355,0.92046)
(2.13997,1.02791)
(0.689259,7.51413)
(-4.44526,6.86668)
(-2.06636,3.45133)
(-6.75896,-7.99769)
(-3.34961,-2.00301)
(-0.766696,2.86904)
(-2.05288,-1.85468)
(-4.68142,4.67734)
(-0.171366,5.9391)
(1.61701,0.0936199)
(1.7886,4.11733)
(-8.39149,8.36938)
(-5.30429,8.63821)
(-3.13566,3.42164)
(8.6025,4.03587)
(0.113967,-4.92899)
(-3.68244,-1.17509)
(-6.73981,-9.02701)
(-1.43189,2.67937)
(2.27752,1.70966)
(-1.71183,-6.81885)
(-2.94908,-1.52155)
(1.63581,1.81979)
(4.14078,-4.24862)
(0.522818,-6.69036)
(1.20398,-0.920038)
(-3.63541,1.74622)
(-0.692298,2.6179)
(-2.89338,-3.18824)
(-0.413289,5.27988)
(-3.36327,1.02781)
(-4.24126,0.773658)
(0.362628,-5.92617)
(-5.89613,3.04429)
(0.806518,-4.9725)
(-4.92108,-3.81271)
(3.98786,3.68523)
(-1.6992,1.02554)
(1.39006,-3.60888)
(3.7337,-8.09881)
(-2.01583,4.16209)
(-3.11013,-0.698243)
(-6.04404,8.87062)
(-2.70869,-2.12843)
(9.86593,-4.73205)
(3.26012,11.8116)
(0.601171,-3.49711)
(1.6946,2.05482)
(2.30188,0.804614)
(-9.94321,-2.02618)
(-1.67032,-3.43628)
(-0.198517,6.33034)
(0.167373,-1.13231)
(-0.0852271,-6.45031)
(0.958445,8.44241)
(2.62608,-9.85178)
(-5.56647,-6.34059)
(-5.63834,-2.65475)
(3.41595,-3.03493)
(0.209806,-0.551723)
(0.965404,5.55098)
(1.52316,5.07348)
(-6.10554,2.3596)
(-4.80078,6.09618)
(1.58126,-0.0337761)
(4.91688,0.461348)
(2.49714,-4.56713)
(3.67856,-4.68067)
(-8.5251,-0.237227)
(5.57621,-10.561)
(6.7504,-2.55485)
